course_id,year,month,day,sched_1_355,sched_2_1035,sched_3_418,sched_4_2543,stop_1_355,stop_2_1035,stop_3_418,stop_4_2543,stay_1_355,stay_2_1035,stay_3_418,stay_4_2543,daily_course,weekly_course,df1,df2,df3
1143804,2020,1,11,2020-01-11-07-39,2020-01-11-07-41,2020-01-11-07-42,2020-01-11-07-44,2020-01-11-07-38,2020-01-11-07-40,2020-01-11-07-41,2020-01-11-07-44,2,0.5,0,1,3,15,0.001388889,0.000694444,0.002083333
1143806,2020,1,11,2020-01-11-08-42,2020-01-11-08-44,2020-01-11-08-45,2020-01-11-08-47,2020-01-11-08-42,2020-01-11-08-44,2020-01-11-08-44,2020-01-11-08-46,1,0,0,1,4,16,0.001388889,0,0.001388889
1143808,2020,1,11,2020-01-11-09-56,2020-01-11-09-58,2020-01-11-09-59,2020-01-11-10-01,2020-01-11-09-55,2020-01-11-09-57,2020-01-11-09-58,2020-01-11-10-02,1,0,0,1,5,17,0.001388889,0.000694444,0.002777778
1143810,2020,1,11,2020-01-11-11-03,2020-01-11-11-05,2020-01-11-11-06,2020-01-11-11-08,2020-01-11-11-02,2020-01-11-11-04,2020-01-11-11-05,2020-01-11-11-08,1,0,0,1,6,18,0.001388889,0.000694444,0.002083333
1143812,2020,1,11,2020-01-11-12-06,2020-01-11-12-08,2020-01-11-12-09,2020-01-11-12-11,2020-01-11-12-05,2020-01-11-12-06,2020-01-11-12-07,2020-01-11-12-10,0,0,1,1,7,19,0.000694444,0.000694444,0.002083333
1143814,2020,1,11,2020-01-11-13-09,2020-01-11-13-11,2020-01-11-13-12,2020-01-11-13-14,2020-01-11-13-10,2020-01-11-13-13,2020-01-11-13-14,2020-01-11-13-16,2,0,1,1,8,20,0.002083333,0.000694444,0.001388889
1143816,2020,1,11,2020-01-11-14-12,2020-01-11-14-14,2020-01-11-14-15,2020-01-11-14-17,2020-01-11-14-13,2020-01-11-14-14,2020-01-11-14-15,2020-01-11-14-18,1,0.5,0,1,9,21,0.000694444,0.000694444,0.002083333
1143818,2020,1,11,2020-01-11-15-15,2020-01-11-15-17,2020-01-11-15-18,2020-01-11-15-20,2020-01-11-15-14,2020-01-11-15-16,2020-01-11-15-17,2020-01-11-15-21,1,1,1,1,10,22,0.001388889,0.000694444,0.002777778
1143820,2020,1,11,2020-01-11-16-26,2020-01-11-16-28,2020-01-11-16-29,2020-01-11-16-31,2020-01-11-16-25,2020-01-11-16-27,2020-01-11-16-28,2020-01-11-16-31,1,0.5,0,1,11,23,0.001388889,0.000694444,0.002083333
1143822,2020,1,11,2020-01-11-17-31,2020-01-11-17-33,2020-01-11-17-34,2020-01-11-17-36,2020-01-11-17-32,2020-01-11-17-34,2020-01-11-17-35,2020-01-11-17-39,1.5,0.5,1,1,12,24,0.001388889,0.000694444,0.002777778
1143824,2020,1,11,2020-01-11-18-34,2020-01-11-18-36,2020-01-11-18-37,2020-01-11-18-39,2020-01-11-18-34,2020-01-11-18-37,2020-01-11-18-39,2020-01-11-18-41,2,1,0,0.5,13,25,0.002083333,0.001388889,0.001388889
1143826,2020,1,11,2020-01-11-19-36,2020-01-11-19-37,2020-01-11-19-38,2020-01-11-19-40,2020-01-11-19-36,2020-01-11-19-39,2020-01-11-19-40,2020-01-11-19-43,1,0,1,1,14,26,0.002083333,0.000694444,0.002083333
1143828,2020,1,11,2020-01-11-20-44,2020-01-11-20-45,2020-01-11-20-46,2020-01-11-20-48,2020-01-11-20-44,2020-01-11-20-45,2020-01-11-20-46,2020-01-11-20-49,1,0,0,1,15,27,0.000694444,0.000694444,0.002083333
1143800,2020,1,12,2020-01-12-05-29,2020-01-12-05-30,2020-01-12-05-31,2020-01-12-05-33,2020-01-12-05-28,2020-01-12-05-29,2020-01-12-05-30,2020-01-12-05-32,0,0,0,0.5,1,28,0.000694444,0.000694444,0.001388889
1143802,2020,1,12,2020-01-12-06-29,2020-01-12-06-30,2020-01-12-06-31,2020-01-12-06-33,2020-01-12-06-28,2020-01-12-06-30,2020-01-12-06-31,2020-01-12-06-34,1,0,0.5,0.5,2,29,0.001388889,0.000694444,0.002083333
1143804,2020,1,12,2020-01-12-07-39,2020-01-12-07-41,2020-01-12-07-42,2020-01-12-07-44,2020-01-12-07-37,2020-01-12-07-39,2020-01-12-07-40,2020-01-12-07-44,1,0,0.5,1,3,30,0.001388889,0.000694444,0.002777778
1143806,2020,1,12,2020-01-12-08-42,2020-01-12-08-44,2020-01-12-08-45,2020-01-12-08-47,2020-01-12-08-41,2020-01-12-08-42,2020-01-12-08-43,2020-01-12-08-48,0,0,0.5,1,4,31,0.000694444,0.000694444,0.003472222
1143808,2020,1,12,2020-01-12-09-56,2020-01-12-09-58,2020-01-12-09-59,2020-01-12-10-01,2020-01-12-09-55,2020-01-12-09-57,2020-01-12-09-58,2020-01-12-10-00,0.5,0,0.5,1,5,32,0.001388889,0.000694444,0.001388889
1143810,2020,1,12,2020-01-12-11-03,2020-01-12-11-05,2020-01-12-11-06,2020-01-12-11-08,2020-01-12-11-02,2020-01-12-11-04,2020-01-12-11-05,2020-01-12-11-08,0.5,0,0.5,1,6,33,0.001388889,0.000694444,0.002083333
1143812,2020,1,12,2020-01-12-12-06,2020-01-12-12-08,2020-01-12-12-09,2020-01-12-12-11,2020-01-12-12-05,2020-01-12-12-07,2020-01-12-12-08,2020-01-12-12-10,1,0.5,1,1,7,34,0.001388889,0.000694444,0.001388889
1143814,2020,1,12,2020-01-12-13-09,2020-01-12-13-11,2020-01-12-13-12,2020-01-12-13-14,2020-01-12-13-09,2020-01-12-13-11,2020-01-12-13-12,2020-01-12-13-16,2,0.5,0.5,1,8,35,0.001388889,0.000694444,0.002777778
1143816,2020,1,12,2020-01-12-14-12,2020-01-12-14-14,2020-01-12-14-15,2020-01-12-14-17,2020-01-12-14-12,2020-01-12-14-14,2020-01-12-14-15,2020-01-12-14-18,2,0.5,0,1,9,36,0.001388889,0.000694444,0.002083333
1143818,2020,1,12,2020-01-12-15-15,2020-01-12-15-17,2020-01-12-15-18,2020-01-12-15-20,2020-01-12-15-15,2020-01-12-15-17,2020-01-12-15-18,2020-01-12-15-21,2,0.5,0.5,0,10,37,0.001388889,0.000694444,0.002083333
1143820,2020,1,12,2020-01-12-16-26,2020-01-12-16-28,2020-01-12-16-29,2020-01-12-16-31,2020-01-12-16-26,2020-01-12-16-27,2020-01-12-16-29,2020-01-12-16-31,0.5,0,0,1,11,38,0.000694444,0.001388889,0.001388889
1143822,2020,1,12,2020-01-12-17-31,2020-01-12-17-33,2020-01-12-17-34,2020-01-12-17-36,2020-01-12-17-31,2020-01-12-17-33,2020-01-12-17-34,2020-01-12-17-37,1,0,0.5,1,12,39,0.001388889,0.000694444,0.002083333
1143824,2020,1,12,2020-01-12-18-34,2020-01-12-18-36,2020-01-12-18-37,2020-01-12-18-39,2020-01-12-18-34,2020-01-12-18-36,2020-01-12-18-37,2020-01-12-18-39,1,0.5,0.5,1,13,40,0.001388889,0.000694444,0.001388889
1143826,2020,1,12,2020-01-12-19-36,2020-01-12-19-37,2020-01-12-19-38,2020-01-12-19-40,2020-01-12-19-36,2020-01-12-19-39,2020-01-12-19-40,2020-01-12-19-43,1,0.5,0.5,1,14,41,0.002083333,0.000694444,0.002083333
1143828,2020,1,12,2020-01-12-20-44,2020-01-12-20-45,2020-01-12-20-46,2020-01-12-20-48,2020-01-12-20-44,2020-01-12-20-45,2020-01-12-20-46,2020-01-12-20-49,1,0,0,1,15,42,0.000694444,0.000694444,0.002083333
1143527,2020,1,13,2020-01-13-05-30,2020-01-13-05-31,2020-01-13-05-33,2020-01-13-05-35,2020-01-13-05-29,2020-01-13-05-31,2020-01-13-05-32,2020-01-13-05-35,0,0,1,0.5,1,43,0.001388889,0.000694444,0.002083333
1143529,2020,1,13,2020-01-13-06-42,2020-01-13-06-43,2020-01-13-06-45,2020-01-13-06-47,2020-01-13-06-42,2020-01-13-06-43,2020-01-13-06-44,2020-01-13-06-46,1,0,0,1,2,44,0.000694444,0.000694444,0.001388889
1143531,2020,1,13,2020-01-13-07-44,2020-01-13-07-46,2020-01-13-07-48,2020-01-13-07-51,2020-01-13-07-55,2020-01-13-07-58,2020-01-13-07-59,2020-01-13-08-02,2,0,0,1,3,45,0.002083333,0.000694444,0.002083333
1143533,2020,1,13,2020-01-13-08-58,2020-01-13-09-00,2020-01-13-09-02,2020-01-13-09-05,2020-01-13-09-07,2020-01-13-09-09,2020-01-13-09-11,2020-01-13-09-14,0.5,1,1,1,4,46,0.001388889,0.001388889,0.002083333
1143535,2020,1,13,2020-01-13-10-28,2020-01-13-10-30,2020-01-13-10-32,2020-01-13-10-35,2020-01-13-10-29,2020-01-13-10-31,2020-01-13-10-33,2020-01-13-10-36,1,0,0.5,1,5,47,0.001388889,0.001388889,0.002083333
1143537,2020,1,13,2020-01-13-11-39,2020-01-13-11-41,2020-01-13-11-43,2020-01-13-11-46,2020-01-13-11-38,2020-01-13-11-41,2020-01-13-11-42,2020-01-13-11-46,1,1,1,1,6,48,0.002083333,0.000694444,0.002777778
1143539,2020,1,13,2020-01-13-12-50,2020-01-13-12-52,2020-01-13-12-54,2020-01-13-12-57,2020-01-13-12-49,2020-01-13-12-51,2020-01-13-12-53,2020-01-13-12-56,1,0.5,1,1,7,49,0.001388889,0.001388889,0.002083333
1143541,2020,1,13,2020-01-13-14-01,2020-01-13-14-03,2020-01-13-14-05,2020-01-13-14-08,2020-01-13-14-02,2020-01-13-14-04,2020-01-13-14-05,2020-01-13-14-10,2,0,1,1,8,50,0.001388889,0.000694444,0.003472222
1143543,2020,1,13,2020-01-13-15-12,2020-01-13-15-14,2020-01-13-15-16,2020-01-13-15-19,2020-01-13-15-12,2020-01-13-15-15,2020-01-13-15-17,2020-01-13-15-19,2,1,1,1,9,51,0.002083333,0.001388889,0.001388889
1143545,2020,1,13,2020-01-13-16-29,2020-01-13-16-31,2020-01-13-16-33,2020-01-13-16-36,2020-01-13-16-29,2020-01-13-16-31,2020-01-13-16-33,2020-01-13-16-36,1,1,1,0.5,10,52,0.001388889,0.001388889,0.002083333
1143547,2020,1,13,2020-01-13-17-41,2020-01-13-17-43,2020-01-13-17-45,2020-01-13-17-48,2020-01-13-17-48,2020-01-13-17-50,2020-01-13-17-52,2020-01-13-17-57,1,1,2,1,11,53,0.001388889,0.001388889,0.003472222
1143549,2020,1,13,2020-01-13-18-52,2020-01-13-18-54,2020-01-13-18-56,2020-01-13-18-59,2020-01-13-19-10,2020-01-13-19-12,2020-01-13-19-13,2020-01-13-19-15,1,0,0,1,12,54,0.001388889,0.000694444,0.001388889
1143551,2020,1,13,2020-01-13-19-59,2020-01-13-20-00,2020-01-13-20-02,2020-01-13-20-04,2020-01-13-20-17,2020-01-13-20-19,2020-01-13-20-19,2020-01-13-20-23,1,0,0,1,13,55,0.001388889,0,0.002777778
1143553,2020,1,13,2020-01-13-21-10,2020-01-13-21-11,2020-01-13-21-13,2020-01-13-21-15,2020-01-13-21-35,2020-01-13-21-36,2020-01-13-21-37,2020-01-13-21-41,0,0,0.5,3,14,56,0.000694444,0.000694444,0.002777778
1143527,2020,1,14,2020-01-14-05-30,2020-01-14-05-31,2020-01-14-05-33,2020-01-14-05-35,2020-01-14-05-29,2020-01-14-05-31,2020-01-14-05-32,2020-01-14-05-36,0.5,0,1,0.5,1,57,0.001388889,0.000694444,0.002777778
1143529,2020,1,14,2020-01-14-06-42,2020-01-14-06-43,2020-01-14-06-45,2020-01-14-06-47,2020-01-14-06-42,2020-01-14-06-43,2020-01-14-06-44,2020-01-14-06-46,0,0,0.5,1,2,58,0.000694444,0.000694444,0.001388889
1143531,2020,1,14,2020-01-14-07-44,2020-01-14-07-46,2020-01-14-07-48,2020-01-14-07-51,2020-01-14-07-49,2020-01-14-07-52,2020-01-14-07-53,2020-01-14-07-56,2,0,0,0.5,3,59,0.002083333,0.000694444,0.002083333
1143533,2020,1,14,2020-01-14-08-58,2020-01-14-09-00,2020-01-14-09-02,2020-01-14-09-05,2020-01-14-09-09,2020-01-14-09-11,2020-01-14-09-12,2020-01-14-09-16,0.5,0,0,1,4,60,0.001388889,0.000694444,0.002777778
1143535,2020,1,14,2020-01-14-10-28,2020-01-14-10-30,2020-01-14-10-32,2020-01-14-10-35,2020-01-14-10-28,2020-01-14-10-30,2020-01-14-10-31,2020-01-14-10-34,0,0.5,0.5,1,5,61,0.001388889,0.000694444,0.002083333
1143537,2020,1,14,2020-01-14-11-39,2020-01-14-11-41,2020-01-14-11-43,2020-01-14-11-46,2020-01-14-11-39,2020-01-14-11-41,2020-01-14-11-42,2020-01-14-11-46,1,0.5,0.5,1,6,62,0.001388889,0.000694444,0.002777778
1143541,2020,1,14,2020-01-14-14-01,2020-01-14-14-03,2020-01-14-14-05,2020-01-14-14-08,2020-01-14-14-01,2020-01-14-14-03,2020-01-14-14-05,2020-01-14-14-08,2,0.5,0,0.5,7,63,0.001388889,0.001388889,0.002083333
1143543,2020,1,14,2020-01-14-15-12,2020-01-14-15-14,2020-01-14-15-16,2020-01-14-15-19,2020-01-14-15-11,2020-01-14-15-14,2020-01-14-15-15,2020-01-14-15-17,1,0,2,0.5,8,64,0.002083333,0.000694444,0.001388889
1143545,2020,1,14,2020-01-14-16-29,2020-01-14-16-31,2020-01-14-16-33,2020-01-14-16-36,2020-01-14-16-28,2020-01-14-16-30,2020-01-14-16-31,2020-01-14-16-34,0,0,0,0.5,9,65,0.001388889,0.000694444,0.002083333
1143547,2020,1,14,2020-01-14-17-41,2020-01-14-17-43,2020-01-14-17-45,2020-01-14-17-48,2020-01-14-17-47,2020-01-14-17-51,2020-01-14-17-55,2020-01-14-17-58,1,2,0.5,1,10,66,0.002777778,0.002777778,0.002083333
1143549,2020,1,14,2020-01-14-18-52,2020-01-14-18-54,2020-01-14-18-56,2020-01-14-18-59,2020-01-14-19-07,2020-01-14-19-10,2020-01-14-19-11,2020-01-14-19-16,2,0,2,0.5,11,67,0.002083333,0.000694444,0.003472222
1143551,2020,1,14,2020-01-14-19-59,2020-01-14-20-00,2020-01-14-20-02,2020-01-14-20-04,2020-01-14-20-17,2020-01-14-20-19,2020-01-14-20-20,2020-01-14-20-23,1,0,0,1,12,68,0.001388889,0.000694444,0.002083333
1143553,2020,1,14,2020-01-14-21-10,2020-01-14-21-11,2020-01-14-21-13,2020-01-14-21-15,2020-01-14-21-16,2020-01-14-21-18,2020-01-14-21-19,2020-01-14-21-21,1,0,0.5,0.5,13,69,0.001388889,0.000694444,0.001388889
1143527,2020,1,15,2020-01-15-05-30,2020-01-15-05-31,2020-01-15-05-33,2020-01-15-05-35,2020-01-15-05-30,2020-01-15-05-31,2020-01-15-05-32,2020-01-15-05-35,0,0,0,1,1,70,0.000694444,0.000694444,0.002083333
1143529,2020,1,15,2020-01-15-06-42,2020-01-15-06-43,2020-01-15-06-45,2020-01-15-06-47,2020-01-15-06-42,2020-01-15-06-43,2020-01-15-06-44,2020-01-15-06-48,1,0.5,1,0,2,71,0.000694444,0.000694444,0.002777778
1143531,2020,1,15,2020-01-15-07-44,2020-01-15-07-46,2020-01-15-07-48,2020-01-15-07-51,2020-01-15-07-54,2020-01-15-07-56,2020-01-15-07-57,2020-01-15-08-00,1,0,0,1,3,72,0.001388889,0.000694444,0.002083333
1143533,2020,1,15,2020-01-15-08-58,2020-01-15-09-00,2020-01-15-09-02,2020-01-15-09-05,2020-01-15-09-05,2020-01-15-09-07,2020-01-15-09-09,2020-01-15-09-12,2,0.5,0,1,4,73,0.001388889,0.001388889,0.002083333
1143535,2020,1,15,2020-01-15-10-28,2020-01-15-10-30,2020-01-15-10-32,2020-01-15-10-35,2020-01-15-10-28,2020-01-15-10-30,2020-01-15-10-32,2020-01-15-10-34,1,1,0,0.5,5,74,0.001388889,0.001388889,0.001388889
1143537,2020,1,15,2020-01-15-11-39,2020-01-15-11-41,2020-01-15-11-43,2020-01-15-11-46,2020-01-15-11-40,2020-01-15-11-42,2020-01-15-11-43,2020-01-15-11-46,0.5,1,1,1,6,75,0.001388889,0.000694444,0.002083333
1143539,2020,1,15,2020-01-15-12-50,2020-01-15-12-52,2020-01-15-12-54,2020-01-15-12-57,2020-01-15-12-52,2020-01-15-12-54,2020-01-15-12-57,2020-01-15-13-00,1,0.5,1,0.5,7,76,0.001388889,0.002083333,0.002083333
1143541,2020,1,15,2020-01-15-14-01,2020-01-15-14-03,2020-01-15-14-05,2020-01-15-14-08,2020-01-15-14-02,2020-01-15-14-04,2020-01-15-14-06,2020-01-15-14-08,2,1,0.5,0.5,8,77,0.001388889,0.001388889,0.001388889
1143543,2020,1,15,2020-01-15-15-12,2020-01-15-15-14,2020-01-15-15-16,2020-01-15-15-19,2020-01-15-15-12,2020-01-15-15-14,2020-01-15-15-16,2020-01-15-15-19,1,1,1,1,9,78,0.001388889,0.001388889,0.002083333
1143545,2020,1,15,2020-01-15-16-29,2020-01-15-16-31,2020-01-15-16-33,2020-01-15-16-36,2020-01-15-16-29,2020-01-15-16-33,2020-01-15-16-34,2020-01-15-16-37,2,1,0,1,10,79,0.002777778,0.000694444,0.002083333
1143547,2020,1,15,2020-01-15-17-41,2020-01-15-17-43,2020-01-15-17-45,2020-01-15-17-48,2020-01-15-17-47,2020-01-15-17-49,2020-01-15-17-51,2020-01-15-17-56,1,0,2,1,11,80,0.001388889,0.001388889,0.003472222
1143549,2020,1,15,2020-01-15-18-52,2020-01-15-18-54,2020-01-15-18-56,2020-01-15-18-59,2020-01-15-19-14,2020-01-15-19-17,2020-01-15-19-18,2020-01-15-19-21,2,1,1,1,12,81,0.002083333,0.000694444,0.002083333
1143551,2020,1,15,2020-01-15-19-59,2020-01-15-20-00,2020-01-15-20-02,2020-01-15-20-04,2020-01-15-20-35,2020-01-15-20-40,2020-01-15-20-41,2020-01-15-20-43,4,0.5,0,0.5,13,82,0.003472222,0.000694444,0.001388889
1143527,2020,1,16,2020-01-16-05-30,2020-01-16-05-31,2020-01-16-05-33,2020-01-16-05-35,2020-01-16-05-30,2020-01-16-05-31,2020-01-16-05-33,2020-01-16-05-36,0.5,0.5,1,0.5,1,83,0.000694444,0.001388889,0.002083333
1143529,2020,1,16,2020-01-16-06-42,2020-01-16-06-43,2020-01-16-06-45,2020-01-16-06-47,2020-01-16-06-44,2020-01-16-06-45,2020-01-16-06-47,2020-01-16-06-50,0.5,0.5,0.5,0.5,2,84,0.000694444,0.001388889,0.002083333
1143531,2020,1,16,2020-01-16-07-44,2020-01-16-07-46,2020-01-16-07-48,2020-01-16-07-51,2020-01-16-07-51,2020-01-16-07-53,2020-01-16-07-55,2020-01-16-07-58,1,1,0.5,1,3,85,0.001388889,0.001388889,0.002083333
1143533,2020,1,16,2020-01-16-08-58,2020-01-16-09-00,2020-01-16-09-02,2020-01-16-09-05,2020-01-16-09-02,2020-01-16-09-05,2020-01-16-09-06,2020-01-16-09-08,2,0,0,1,4,86,0.002083333,0.000694444,0.001388889
1143535,2020,1,16,2020-01-16-10-28,2020-01-16-10-30,2020-01-16-10-32,2020-01-16-10-35,2020-01-16-10-29,2020-01-16-10-31,2020-01-16-10-32,2020-01-16-10-36,1.5,0.5,0.5,1,5,87,0.001388889,0.000694444,0.002777778
1143537,2020,1,16,2020-01-16-11-39,2020-01-16-11-41,2020-01-16-11-43,2020-01-16-11-46,2020-01-16-11-40,2020-01-16-11-43,2020-01-16-11-44,2020-01-16-11-48,1,0,1,0.5,6,88,0.002083333,0.000694444,0.002777778
1143539,2020,1,16,2020-01-16-12-50,2020-01-16-12-52,2020-01-16-12-54,2020-01-16-12-57,2020-01-16-12-52,2020-01-16-12-53,2020-01-16-12-55,2020-01-16-12-58,0.5,0,2,1,7,89,0.000694444,0.001388889,0.002083333
1143541,2020,1,16,2020-01-16-14-01,2020-01-16-14-03,2020-01-16-14-05,2020-01-16-14-08,2020-01-16-14-04,2020-01-16-14-06,2020-01-16-14-08,2020-01-16-14-12,1,0.5,1,0.5,8,90,0.001388889,0.001388889,0.002777778
1143543,2020,1,16,2020-01-16-15-12,2020-01-16-15-14,2020-01-16-15-16,2020-01-16-15-19,2020-01-16-15-11,2020-01-16-15-13,2020-01-16-15-15,2020-01-16-15-18,1,1,2,1,9,91,0.001388889,0.001388889,0.002083333
1143545,2020,1,16,2020-01-16-16-29,2020-01-16-16-31,2020-01-16-16-33,2020-01-16-16-36,2020-01-16-16-30,2020-01-16-16-31,2020-01-16-16-33,2020-01-16-16-35,1,0,0.5,1,10,92,0.000694444,0.001388889,0.001388889
1143547,2020,1,16,2020-01-16-17-41,2020-01-16-17-43,2020-01-16-17-45,2020-01-16-17-48,2020-01-16-17-43,2020-01-16-17-45,2020-01-16-17-47,2020-01-16-17-52,1,0,1,0.5,11,93,0.001388889,0.001388889,0.003472222
1143549,2020,1,16,2020-01-16-18-52,2020-01-16-18-54,2020-01-16-18-56,2020-01-16-18-59,2020-01-16-19-01,2020-01-16-19-04,2020-01-16-19-05,2020-01-16-19-07,1.5,0.5,1,1,12,94,0.002083333,0.000694444,0.001388889
1143551,2020,1,16,2020-01-16-19-59,2020-01-16-20-00,2020-01-16-20-02,2020-01-16-20-04,2020-01-16-20-13,2020-01-16-20-14,2020-01-16-20-15,2020-01-16-20-19,0.5,0.5,0,0.5,13,95,0.000694444,0.000694444,0.002777778
1143553,2020,1,16,2020-01-16-21-10,2020-01-16-21-11,2020-01-16-21-13,2020-01-16-21-15,2020-01-16-21-09,2020-01-16-21-11,2020-01-16-21-12,2020-01-16-21-15,1.5,0,0.5,1,14,96,0.001388889,0.000694444,0.002083333
1143527,2020,1,17,2020-01-17-05-30,2020-01-17-05-31,2020-01-17-05-33,2020-01-17-05-35,2020-01-17-05-30,2020-01-17-05-31,2020-01-17-05-32,2020-01-17-05-36,0,0,1,1,1,1,0.000694444,0.000694444,0.002777778
1143529,2020,1,17,2020-01-17-06-42,2020-01-17-06-43,2020-01-17-06-45,2020-01-17-06-47,2020-01-17-06-42,2020-01-17-06-45,2020-01-17-06-46,2020-01-17-06-50,1.5,0.5,0.5,0,2,2,0.002083333,0.000694444,0.002777778
1143531,2020,1,17,2020-01-17-07-44,2020-01-17-07-46,2020-01-17-07-48,2020-01-17-07-51,2020-01-17-07-53,2020-01-17-07-55,2020-01-17-07-57,2020-01-17-08-00,2,0.5,0,1,3,3,0.001388889,0.001388889,0.002083333
1143533,2020,1,17,2020-01-17-08-58,2020-01-17-09-00,2020-01-17-09-02,2020-01-17-09-05,2020-01-17-09-07,2020-01-17-09-09,2020-01-17-09-10,2020-01-17-09-14,1,0,2,1,4,4,0.001388889,0.000694444,0.002777778
1143535,2020,1,17,2020-01-17-10-28,2020-01-17-10-30,2020-01-17-10-32,2020-01-17-10-35,2020-01-17-10-28,2020-01-17-10-30,2020-01-17-10-31,2020-01-17-10-34,1,0.5,1,0.5,5,5,0.001388889,0.000694444,0.002083333
1143537,2020,1,17,2020-01-17-11-39,2020-01-17-11-41,2020-01-17-11-43,2020-01-17-11-46,2020-01-17-11-38,2020-01-17-11-40,2020-01-17-11-42,2020-01-17-11-45,1,1,0.5,1,6,6,0.001388889,0.001388889,0.002083333
1143539,2020,1,17,2020-01-17-12-50,2020-01-17-12-52,2020-01-17-12-54,2020-01-17-12-57,2020-01-17-12-50,2020-01-17-12-51,2020-01-17-12-53,2020-01-17-12-56,0,0.5,1,1,7,7,0.000694444,0.001388889,0.002083333
1143541,2020,1,17,2020-01-17-14-01,2020-01-17-14-03,2020-01-17-14-05,2020-01-17-14-08,2020-01-17-14-04,2020-01-17-14-06,2020-01-17-14-08,2020-01-17-14-10,2,0.5,0.5,1,8,8,0.001388889,0.001388889,0.001388889
1143543,2020,1,17,2020-01-17-15-12,2020-01-17-15-14,2020-01-17-15-16,2020-01-17-15-19,2020-01-17-15-12,2020-01-17-15-14,2020-01-17-15-15,2020-01-17-15-18,0.5,0.5,0.5,1,9,9,0.001388889,0.000694444,0.002083333
